EmpID,RecruitmentSource,DateofHire
10026,LinkedIn,7/5/2011
10084,Indeed,3/30/2015
10196,LinkedIn,7/5/2011
10088,Indeed,1/7/2008
10069,Google Search,7/11/2011
10002,LinkedIn,1/9/2012
10194,LinkedIn,11/10/2014
10062,Employee Referral,9/30/2013
10114,Diversity Job Fair,7/6/2009
10250,Indeed,1/5/2015
10252,Diversity Job Fair,1/10/2011
10242,Diversity Job Fair,4/2/2012
10012,Diversity Job Fair,11/10/2014
10265,Google Search,2/20/2012
10066,On-line Web application,9/24/2012
10061,Google Search,2/21/2011
10023,Employee Referral,7/21/2016
10055,Google Search,4/4/2011
10245,Google Search,7/7/2014
10277,LinkedIn,7/8/2013
10046,Google Search,4/2/2012
10226,Indeed,8/19/2013
10003,Indeed,7/7/2014
10294,CareerBuilder,4/4/2011
10267,Google Search,1/10/2011
10199,LinkedIn,2/17/2014
10081,Diversity Job Fair,2/16/2015
10175,Indeed,9/30/2013
10177,Google Search,4/2/2012
10238,Diversity Job Fair,10/27/2008
10184,Google Search,9/29/2014
10203,Diversity Job Fair,11/11/2013
10188,Google Search,8/15/2011
10107,Employee Referral,3/5/2012
10181,Indeed,4/4/2011
10150,Google Search,8/15/2011
10001,Indeed,1/28/2016
10085,Indeed,11/11/2013
10115,LinkedIn,3/31/2014
10082,LinkedIn,6/30/2016
10040,Indeed,8/18/2014
10067,Google Search,9/29/2014
10108,Indeed,9/6/2016
10210,Indeed,5/12/2014
10154,LinkedIn,7/8/2013
10200,Employee Referral,5/14/2012
10240,Indeed,6/27/2011
10168,Indeed,10/3/2011
10220,Indeed,9/5/2012
10275,Google Search,5/16/2011
10269,Indeed,8/30/2010
10029,Employee Referral,7/6/2016
10261,Employee Referral,7/8/2013
10292,LinkedIn,7/11/2011
10282,CareerBuilder,7/20/2010
10019,Indeed,1/5/2009
10094,Indeed,1/5/2015
10193,Indeed,3/30/2015
10132,LinkedIn,7/6/2016
10083,Employee Referral,11/10/2014
10099,Indeed,5/5/2014
10212,LinkedIn,11/10/2014
10056,Indeed,7/2/2012
10143,LinkedIn,11/7/2011
10311,Indeed,7/9/2018
10070,Indeed,5/16/2011
10155,CareerBuilder,1/9/2012
10306,Indeed,9/29/2014
10100,Google Search,4/4/2011
10310,Indeed,7/7/2014
