,title,Genre,Created by,Starring,Composers,Country of origin,Original language,No. of seasons,No. of episodes,Executive producers,Cinematography,Editors,Running time,Production companies,Distributor,Original network,Picture format,Audio format,Original release,Running time (int),Final release,Theme music composer,Producer,Production location,Production locations,Based on,Developed by,Related shows,Narrated by,Opening theme,Production company,Preceded by,Producers,Composer,Editor,Camera setup,Written by,Directed by,Music by,Voices of,Ending theme,No. of series,Spanish,Original languages,Executive producer,Original work,Owned by,Toy(s),Web series,Creative directors,Followed by,Animator,Screenplay by,German,Japanese,Hangul,Hanja,Creative director,Budget,Portuguese,Turkish,Traditional,Simplified,Mandarin,Polish,Swedish,Produced by,Productioncompany ,Distributed by,Release date,Country,Language,Edited by,Presented by,First shown in,Also known as,Judges,French,Chinese,Inspired by,Box office,Book(s),Film(s),Direct-to-video,Musical(s),Video game(s),Soundtrack(s),Original music,Theme park attraction(s),Candy brand,Confections,Revised Romanization
0,Stranger Things,"['Science fiction', 'Horror', 'Mystery-thriller']",The Duffer Brothers,"['Winona Ryder', 'David Harbour', 'Finn Wolfhard', 'Millie Bobby Brown', 'Gaten Matarazzo', 'Caleb McLaughlin', 'Natalia Dyer', 'Charlie Heaton', 'Cara Buono', 'Matthew Modine', 'Noah Schnapp', 'Sadie Sink', 'Joe Keery', 'Dacre Montgomery', 'Sean Astin', 'Paul Reiser', 'Maya Hawke', 'Priah Ferguson', 'Brett Gelman', 'Jamie Campbell Bower', 'Eduardo Franco', 'Joseph Quinn']","['Michael Stein', 'Kyle Dixon']",United States,English,3,25 ,"['The Duffer Brothers', 'Shawn Levy', 'Dan Cohen', 'Cindy Holland', 'Brian Wright', 'Matt Thunell', 'Karl Gajdusek', 'Iain Paterson']","['Tim Ives', 'Tod Campbell', 'Lachlan Milne', 'David Franco']","['Dean Zimmerman', 'Kevin D. Ross', 'Nat Fuller', 'Katheryn Naranjo']",42–77 minutes,"['21 Laps Entertainment', 'Monkey Massacre']",Netflix Streaming Services,Netflix,"['4K (Ultra HD)', 'High dynamic range']",Dolby Digital 5.1,"July 15, 2016 (2016-07-15) –present (present)",42,present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,The Crown,Historical drama,Peter Morgan,"['Claire Foy', 'Matt Smith', 'Vanessa Kirby', 'Eileen Atkins', 'Jeremy Northam', 'Victoria Hamilton', 'Ben Miles', 'Greg Wise', 'Jared Harris', 'John Lithgow', 'Alex Jennings', 'Lia Williams', 'Anton Lesser', 'Matthew Goode', 'Olivia Colman', 'Tobias Menzies', 'Helena Bonham Carter', 'Ben Daniels', 'Jason Watkins', 'Marion Bailey', 'Erin Doherty', 'Jane Lapotaire', 'Charles Dance', ""Josh O'Connor"", 'Geraldine Chaplin', 'Michael Maloney', 'Emerald Fennell', 'Andrew Buchan', 'Gillian Anderson', 'Emma Corrin', 'Stephen Boxer']","['Rupert Gregson-Williams (1–2)', 'Lorne Balfe (2)', 'Martin Phipps (3–4)']","['United Kingdom', 'United States']",English,4,40 ,"['Peter Morgan', 'Stephen Daldry', 'Andy Harries', 'Philip Martin', 'Suzanne Mackie', 'Matthew Byam Shaw', 'Robert Fox', 'Tanya Seghatchian', 'Nina Wolarsky', 'Allie Goss', 'Benjamin Caron']",,,47–61 minutes,"['Left Bank Pictures', 'Sony Pictures Television']",Netflix Streaming Services,Netflix,4K (Ultra HD),,4 November 2016 (2016-11-04) –present (present),47,present,Hans Zimmer,Andrew Eaton,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Ozark,"['Crime drama', 'Thriller']","['Bill Dubuque', 'Mark Williams']","['Jason Bateman', 'Laura Linney', 'Sofia Hublitz', 'Skylar Gaertner', 'Julia Garner', 'Jordana Spiro', 'Jason Butler Harner', 'Esai Morales', 'Peter Mullan', 'Lisa Emery', 'Charlie Tahan', 'Janet McTeer', 'Tom Pelphrey', 'Jessica Frances Dukes']","['Danny Bensi', 'Saunder Jurriaans']",United States,English,3,30 ,"['Jason Bateman', 'Chris Mundy', 'Bill Dubuque', 'Mark Williams']",,,52–80 minutes,"['MRC', 'Aggregate Films', 'Zero Gravity Management', 'Headhunter Films', 'Man, Woman & Child Productions']",Netflix,Netflix,"['4K (Ultra HD)', 'High dynamic range']",Dolby Digital 5.1,"July 21, 2017 (2017-07-21) –present (present)",52,present,,,,"['Lake Allatoona, Georgia', 'Lake Lanier, Georgia']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lost in Space,"['Science fiction', 'Adventure', 'Family drama']",Irwin Allen,"['Molly Parker', 'Toby Stephens', 'Maxwell Jenkins', 'Taylor Russell', 'Mina Sundwall', 'Ignacio Serricchio', 'Parker Posey', 'Brian Steele']","['Christopher Lennertz', 'John Williams (original theme)']",United States,English,2,20 ,"['Neil Marshall', 'Zack Estrin', 'Kevin Burns', 'Jon Jashni', 'Matt Sazama', 'Burk Sharpless', 'Marc Helwig', 'Alex Graves']",Sam McCurdy,,39–65 minutes,"['Sazama Sharpless Productions', 'Applebox Entertainment', 'Synthesis Entertainment', 'Clickety-Clack Productions', 'Legendary Television']",Netflix,Netflix,4K (Ultra HD),,"April 13, 2018 (2018-04-13) –present (present)",39,present,,,,"Vancouver, British Columbia",1965 series of the same nameby Irwin AllenThe Swiss Family Robinson byJohann David Wyss,Matt SazamaBurk Sharpless,"['Lost in Space (1965 TV series)', 'Lost in Space (1998 film)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Narcos: Mexico,"['Crime drama', 'Biographical']","['Carlo Bernard', 'Chris Brancato', 'Doug Miro']","['Michael Peña', 'Diego Luna', 'Tenoch Huerta Mejía', 'Alyssa Diaz', 'Joaquín Cosío', 'José María Yazpik', 'Matt Letscher', 'Ernesto Alterio', 'Alejandro Edda', 'Fernanda Urrejola', 'Teresa Ruiz', 'Aaron Staton', 'Lenny Jacobson', 'Gerardo Taracena', 'Julio Cesar Cedillo', 'Scoot McNairy', 'Alfonso Dosal', 'Mayra Hermosillo', 'Manuel Masalva', 'Miguel Rodarte', 'Alex Knight', 'Jesse Garcia', 'Matt Biedel', 'Jero Medina', 'Alberto Zeni', 'Gorka Lasaosa', 'Andres Londono', 'Alberto Ammann', 'Flavio Medina']","['Gustavo Santaolalla', 'Kevin Kiner']",United StatesMexico,,2,20 ,"['Carlo Bernard', 'Doug Miro', 'Eric Newman', 'José Padilha']",,,45–69 minutes,,Netflix,Netflix,,,"November 16, 2018 (2018-11-16) –present",45,present,Rodrigo Amarante,,,"['Mexico', 'United States']",,,,['Scoot McNairy'],"""Tuyo""",Gaumont International Television,Narcos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,The Umbrella Academy,"['Black comedy', 'Drama', 'Science fiction', 'Superhero', 'Fantasy']",Steve Blackman,"['Elliot Page', 'Tom Hopper', 'David Castañeda', 'Emmy Raver-Lampman', 'Robert Sheehan', 'Aidan Gallagher', 'Mary J. Blige', 'Cameron Britton', 'John Magaro', 'Adam Godley', 'Colm Feore', 'Justin H. Min', 'Ritu Arya', 'Yusuf Gatewood', 'Marin Ireland', 'Kate Walsh']","['Jeff Russo', 'Perrine Virgile']",United States,English,2,20 ,"['Gerard Way', 'Gabriel Bá', 'Jeremy Slater', 'Scott Stuber', 'Beau Bauman', 'Mike Richardson', 'Keith Goldberg', 'Peter Hoar', 'Jeff F. King', 'Steve Blackman']","['Neville Kidd', 'Craig Wrobleski']","['Jon Dudkowski', 'Timothy A. Good', 'Amy Duddleston', 'Wendy Tzeng', 'Todd Desrosiers', 'Brian Beal', 'Amanda Panella', 'Franklin Peterson']",40–60 minutes,"['Borderline Entertainment', 'Dark Horse Entertainment', 'Universal Cable Productions']",NetflixNBCUniversal Television Distribution,Netflix,4K UHDTV 2160p,Dolby Digital,"February 15, 2019 (2019-02-15) –present (present)",40,present,,,,"['Toronto, Ontario', 'Hamilton, Ontario']",The Umbrella Academyby Gerard Way and Gabriel Bá,Jeremy Slater,,,,,,"['Kevin Lafferty', 'Sneha Koorse', 'Jamie Neese', 'Jason Neese', 'Ted Miller']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Black Summer,"['Action', 'Apocalyptic fiction', 'Drama']","['Karl Schaefer', 'John Hyams']","['Jaime King', 'Justin Chu Cary', 'Christine Lee', 'Sal Velez Jr.', 'Kelsey Flower', 'Erika Hau']",,Canada,English,1,8 ,,"['Yaron Levy', 'Spiro Grant']",,20–44 minutes,,Netflix,Netflix,4K (16:9 UHDTV in high dynamic range),Dolby Digital,"April 11, 2019 (2019-04-11) –present (present)",20,present,,Jodi Binstock,,,"['Karl Schaefer', 'Craig Engler']",,,,,The Asylum,,,Alec Puro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Another Life,"['Science fiction', 'Drama']",Aaron Martin,"['Katee Sackhoff', 'Justin Chatwin', 'Samuel Anderson', 'Blu Hunt', 'A.J. Rivera', 'Jake Abel', 'Alex Ozerov', 'Alexander Eling', 'JayR Tinaco', 'Lina Renna', 'Selma Blair', 'Elizabeth Ludlow']",,United States,English,1,10 ,"['Aaron Martin', 'Noreen Halpern', 'Chris Regina']",Ryan McMaster,,37–61 minutes,"['Navy Productions', 'Halfire Entertainment']",Netflix,Netflix,4K (16:9 UHDTV in high dynamic range),Dolby Digital,"July 25, 2019 (2019-07-25) –present (present)",37,present,,,,"British Columbia, Canada",,,,,,,,"['Justis Greene', 'Katee Sackhoff', 'Omar Madha']",Trevor Morris,Stein Myhrstad,Single-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Criminal: UK,Police procedural anthology series,"['George Kay', 'Jim Field Smith']","['Katherine Kelly', 'Lee Ingleby', 'Mark Stanley']",,United Kingdom,English,2,7 ,,,,41–48 minutes,,,,,,20 September 2019 (2019-09-20) –present,41,present,,,,,,,"['Criminal: France', 'Criminal: Germany', 'Criminal: Spain']",,,Idiotlamp Productions,,,,,,George Kay,Jim Field Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Raising Dion,"['Superhero', 'Science fiction', 'Adventure', 'Family drama']",Carol Barbee,"['Alisha Wainwright', ""Ja'Siah Young"", 'Jazmyn Simon', 'Sammi Haney', 'Jason Ritter']",,United States,English,1,9 ,"['Carol Barbee', 'Charles D. King', 'Kim Roth', 'Poppy Hanks', 'Kenny Goodman', 'Dennis Liu', 'Seith Mann', 'Michael Green', 'Michael B. Jordan']","['Armando Salas', 'Peter Flinckenberg']","['James D. Wilcox', 'Scott James Wallace', 'Elisa R. Cohen', 'William Yeh']",38–50 minutes,"['Fixed Mark Productions', 'MACRO', 'Outlier Society Productions']",,Netflix,4K (16:9 UHDTV in high dynamic range),Dolby Digital,"October 4, 2019 (2019-10-04) –present (present)",38,present,,,,,Raising Dionby Dennis Liu,,,,,,,"['Robert F. Phillips', 'Edward Ricourt', 'Juanita Diana Feeney']",,,,,,Kris Bowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
