,title,tomatometer,audience_score
0,Anne with an E,60,90
1,Derek,60,88
2,Bloodline,62,76
3,Ratched,62,68
4,Emily in Paris,63,58
5,Marvel's The Punisher,63,79
6,Marcella,70,56
7,Lilyhammer,65,88
8,Marco Polo,66,94
9,Locke & Key,66,68
10,Cursed,66,52
11,The Eddy,67,82
12,The Witcher,67,92
13,Disenchantment,67,72
14,Fear City: New York vs The Mafia,68,64
15,Self Made: Inspired by the Life of Madam C.J. Walker,68,63
16,Warrior Nun,68,75
17,The Liberator,69,70
18,Dark Tourist,70,70
19,Love Is Blind,70,56
20,Daybreak,70,66
21,Dracula,71,58
22,Bonding,71,67
23,Grand Army,71,78
24,Outer Banks,71,86
25,Troy: Fall of a City,71,23
26,Safe,71,76
27,,,
28,Wanderlust,71,72
29,Everything Sucks!,71,92
30,Designated Survivor,71,53
31,History of Swear Words,69,53
32,Japan Sinks: 2020,72,59
33,Watership Down,74,82
34,After Life,75,90
35,Jurassic World: Camp Cretaceous,75,86
36,Requiem,75,62
37,Lost in Space,75,80
38,Altered Carbon,75,63
39,Arrested Development,75,82
40,High Score,76,45
41,Sacred Games,76,83
42,Killer Inside: The Mind of Aaron Hernandez,77,84
43,Unsolved Mysteries,77,69
44,"Love, Death & Robots",77,91
45,She's Gotta Have It,77,60
46,House of Cards,77,76
47,Collateral,78,72
48,Seven Seconds,78,84
49,Marvel's The Defenders,78,73
50,Chelsea Does,79,70
51,Black Earth Rising,79,78
52,Dave Chappelle,80,90
53,Evil Genius: The True Story of America's Most Diabolical Bank Heist,80,84
54,,,
55,The Break With Michelle Wolf,81,59
56,Tidying Up with Marie Kondo,81,73
57,Jeffrey Epstein: Filthy Rich,81,64
58,Living With Yourself,81,83
59,The Get Down,81,89
60,Ozark,81,90
61,Chilling Adventures of Sabrina,81,73
62,Raising Dion,82,74
63,The Umbrella Academy,82,87
64,Wu Assassins,83,82
65,The Stranger,83,73
66,Maniac,83,84
67,Marvel's Jessica Jones,83,79
68,Black Mirror,83,80
69,Challenger: The Final Flight,84,91
70,Making a Murderer,84,98
71,Wet Hot American Summer,84,72
72,The OA,84,84
73,Godless,85,85
74,The Society,86,80
75,The Innocents,86,77
76,The Spy,86,84
77,Lucifer,86,77
78,Tiger King,86,83
79,Sense8,86,90
80,Ghoul,87,80
81,F Is for Family,87,94
82,Atypical,87,95
83,I Am Not Okay With This,87,85
84,,,
85,Narcos: Mexico,88,92
86,Marvel's Luke Cage,87,69
87,Longmire,88,92
88,The Dark Crystal: Age of Resistance,88,94
89,Grace and Frankie,88,89
90,The Haunting of Bly Manor,88,63
91,W/ Bob and David,89,88
92,Pretend It's a City,89,78
93,Bridgerton,89,81
94,Dead to Me,89,90
95,Narcos,89,95
96,Santa Clarita Diet,89,93
97,Easy,90,84
98,The Kominsky Method,90,92
99,Wormwood,90,65
100,You,90,81
101,Orange Is the New Black,90,82
102,The Devil Next Door,91,85
103,Queen Sono,91,66
104,Gentefied,91,76
105,The Last Kingdom,91,96
106,The Midnight Gospel,91,89
107,The Crown,91,89
108,Dating Around,92,50
109,Medical Police,92,74
110,Criminal: UK,92,92
111,Marvel's Daredevil,92,89
112,GLOW,92,86
113,Cobra Kai,93,92
114,Julie and the Phantoms,93,98
115,Teenage Bounty Hunters,93,96
116,Our Planet,93,91
117,Money Heist (La casa de papel),93,80
118,Castlevania,93,88
119,Bodyguard,93,83
120,Peaky Blinders,93,94
121,The End of the F***ing World,93,91
122,Queer Eye,93,83
123,The Haunting of Hill House,93,91
124,BoJack Horseman,93,95
125,Stranger Things,93,91
126,The Staircase,94,83
127,Last Chance U,94,79
128,Love,94,86
129,Rhythm + Flow,95,77
130,Flint Town,95,87
131,Bobby Kennedy for President,95,87
132,On My Block,95,91
133,Dark,95,95
134,Dear White People,95,50
135,Kingdom,96,95
136,Special,96,84
137,I Think You Should Leave with Tim Robinson,96,73
138,Unorthodox,96,82
139,Never Have I Ever,96,89
140,When They See Us,96,90
141,A Series of Unfortunate Events,96,86
142,Unbreakable Kimmy Schmidt,96,83
143,Cheer,97,92
144,The Keepers,97,94
145,Elite,97,86
146,Lady Dynamite,97,78
147,She-Ra and the Princesses of Power,97,87
148,The Queen's Gambit,97,66
149,Russian Doll,97,87
150,Lupin,97,78
151,Nailed It!,98,76
152,Lovesick,98,92
153,Five Came Back,98,91
154,Wild Wild Country,98,88
155,Tuca & Bertie,98,66
156,Unbelievable,98,89
157,American Vandal,98,91
158,Mindhunter,98,95
159,Alias Grace,99,88
160,Big Mouth,99,77
161,One Day at a Time,99,90
162,Crazyhead,100,80
163,Middleditch & Schwartz,100,98
164,Lenox Hill,100,99
165,The Confession Killer,100,93
166,Blood of Zeus,100,80
167,Dirty Money,100,90
168,Call My Agent!,100,96
169,Immigration Nation,100,60
170,Giri/Haji,100,88
171,Ugly Delicious,100,62
172,Dash & Lily,100,68
173,Mystery Science Theater 3000: The Return,100,91
174,Feel Good,100,91
175,The Baby-Sitters Club,100,79
176,Master of None,100,90
